title,company,location,apply_link,apply_type,employment_type,job_description
Data Scientist,Microsoft,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-scientist-at-microsoft-4318557839?position=1&pageNum=0&refId=ZQ4pTg1FhlUdcJenWnQy0A%3D%3D&trackingId=5vMFwxLPxNGE3%2FRTSYNRFw%3D%3D,Apply (Offsite),Full-time,"Cloud migration is one of the most critical steps in modernizing enterprise Information Technology (IT), and Azure Migrate is at the forefront of enabling this transformation. Our team is innovating with Artificial Intelligence (AI) to reimagine how migrations are planned, executed, and optimized—bringing intelligence, adaptability, and precision to every customer journey. You’ll be part of a dynamic engineering team that blends deep platform expertise with cutting-edge AI capabilities to simplify complex migration scenarios and deliver seamless cloud adoption experiences.
As a Data Scientist in Azure Migrate, you will develop intelligent models and data-driven capabilities that guide customers through their cloud migration journey with precision and confidence. You’ll work on designing predictive systems, uncovering actionable insights from large-scale telemetry, and building adaptive experiences that improve migration outcomes.
Azure Migrate is a cornerstone of Azure’s growth strategy—empowering customers to move critical workloads to the cloud and driving long-term platform adoption. Your work will directly influence customer success, shape product direction, and contribute to one of Microsoft’s most impactful cloud services. Flexible work options are available, including partial work-from-home arrangements.
Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.
Responsibilities
You will understand where to acquire the data necessary for your project plan and use querying, visualization, and reporting techniques to describe that data. You’ll also explore data for key attributes and collaborate with others to perform data science experiments using established methodologies.
You will understand modeling techniques, select the correct tool and approach to complete objectives, and evaluate the output for statistical and business significance. You’ll also analyze model performance and incorporate customer feedback into its evaluation.
You will understand the current state of the industry, including current trends, so that you can contribute to thought leadership best practices. You’ll also write efficient code for a specific feature, and develop a working expertise of proper debugging techniques.
You will understand each customer’s business goals and learn best practices for identifying growth opportunities. You’ll also examine projects through a customer-oriented focus, and manage customer expectations regarding project progress.
Qualifications
Required Qualifications:
Doctorate in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, or related field
OR Master's Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, or related field AND 1+ year(s) data-science experience (e.g., managing structured and unstructured data, applying statistical tec
OR Bachelor's Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, or related field AND 2+ years data-science experience (e.g., managing structured and unstructured data, applying statistical tec
OR equivalent experience.
1+ year(s) customer-facing, project-delivery experience, professional services, and/or consulting experience.
Other Requirements
Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings:
Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check upon hire/transfer and every two years thereafter.
Preferred Qualifications
Doctorate in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science,
OR related field AND 1+ year(s) data-science experience (e.g., managing structured and unstructured data, applying statistical techniques and reporting results)
OR Master's Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science,
OR related field AND 3+ years data-science experience (e.g., managing structured and unstructured data, applying statistical techniques and reporting results)
OR Bachelor's Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science,
OR related field AND 5+ years data-science experience (e.g., managing structured and unstructured data, applying statistical techniques and reporting results)
OR equivalent experience.
#azurecorejobs
Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations."
Data Scientist,BitGo,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-bitgo-4280305675?position=2&pageNum=0&refId=ZQ4pTg1FhlUdcJenWnQy0A%3D%3D&trackingId=dsQInMJYRi%2BVohkLvxz%2Bhg%3D%3D,Apply (Offsite),Full-time,"BitGo is the leading infrastructure provider of digital asset solutions, delivering custody, wallets, staking, trading, financing, and settlement services from regulated cold storage. Since our founding in 2013, we have focused on enabling our clients to securely navigate the digital asset space. With a global presence and multiple Trust companies, BitGo serves thousands of institutions, including many of the industry's top brands, exchanges, and platforms, and millions of retail investors worldwide. As the operational backbone of the digital economy, BitGo handles a significant portion of Bitcoin network transactions and is the largest independent digital asset custodian, and staking provider, in the world. For more information, visit www.bitgo.com.
BitGo is looking for a
Data Scientist
who will join our Data Science and Analytics Team and help us continuously refine the framework that supports our growing business and make data-driven decisions.
Responsibilities:
Develop data-driven business insights and work with cross-functional partners to find opportunities and make product and growth recommendations.
Develop and standardize metrics and dashboards that would identify trends and generate hypotheses about the product through a deep understanding of the data, our customers, and our business
Work collaboratively with cross-functional teams to implement solutions driven by business requirements
Develop and automate reporting of key performance indicators of various BitGo’s products and services at scale
Partner with product managers to design experiments to test hypothesis and help with idea generation and refinement
Collaborate with engineering teams and stakeholders to build and improve on the availability, integrity, accuracy, and reliability of data pipelines
Be a data evangelist and help BitGo improve its products and services
Skills & Experience:
We are looking for teammates who share and practice our values: open communication, transparency, taking ownership, and a high level of craftsmanship. We are looking for coworkers who share our vision and mission: deliver trust in digital assets.
Required:
2+ years industry experience in data analytics field
Advanced knowledge of SQL, scripting languages and database concepts
The ability to clearly communicate complex results to technical and non-technical audiences
Knowledge of Basic Statistics required
Experience with Google Analytics / Hubspot / SEM will be a plus
Experience with BI Tools (Tableau, Looker,Google Data Studio, Google Big Query)
Familiarity with data warehouse development and best practices
The versatility and willingness to learn new technologies on the job such as DBT, Airflow
BA/BS or MA/MS degree in Mathematics, Statistics, Economics, Information Systems, Computer Science, Business Analytics, Data Science or related technical field
Why Join BitGo?
Disrupting an industry takes vision, innovation, passion, technical chops, drive to deliver, collaboration, and execution. Join a team of great people who strive for excellence and personify our corporate values of ownership, craftsmanship, and open communication. We are looking for new colleagues who bring innovative ways of thinking and problem solving, and who want risks to be part of the team that changes the world’s financial markets.
Here are some of the benefits of working at BitGo:
Competitive salary
IT equipment support for work
Meal & Commute allowance
Medical Insurance
Attractive Well-being allowance (comprises of medical, wellness and fitness aspects)
Snacks: on-the-house in the Bangalore office
Great/Talented workforce to learn and grow with
Note:
This role requires working onsite (Monday to Friday) at the Bangalore office.
Cryptocurrencies are the most disruptive change the financial services industry has seen in years. Join us and you'll be able to look back and say you were part of the team that transformed investing."
Data Scientist,AB InBev GCC India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-ab-inbev-gcc-india-4316925398?position=3&pageNum=0&refId=ZQ4pTg1FhlUdcJenWnQy0A%3D%3D&trackingId=VslIhVe71zgOAc9F59TDfw%3D%3D,Easy Apply,Full-time,"AB InBev GCC was incorporated in 2014 as a strategic partner for Anheuser-Busch InBev. The center leverages the power of data and analytics to drive growth for critical business functions such as operations, finance, people, and technology. The teams are transforming Operations through Tech and Analytics.
Do You Dream Big?
We Need You.
Job Title: Data Scientist
Location: Bangalore
Reporting to: Manager- Analytics/ Senior Manager-Analytics
1. PURPOSE OF THE ROLE
Contributing to the Data Science efforts of AB InBevʼs global non-commercial analytics capability of Supply Analytics. Candidate will be required to contribute and
may also need to guide the DS team staffed on the area and assess the efforts required to scale and standardize the use of Data Science across multiple ABI markets
2. KEY TASKS AND ACCOUNTABILITIES
Understand the business problem and translate that to an analytical problem; participate in the solution design process.
Manage the full AI/ML lifecycle, including data preprocessing, feature engineering, model training, validation, deployment, and monitoring.
Develop reusable and modular Python code adhering to OOP (Object-Oriented Programming) principles.
Design, develop, and deploy machine learning models into production environments on Azure.
Collaborate with data scientists, software engineers, and other stakeholders to meet business needs.
Ability to communicate findings clearly to both technical and business stakeholders.
3. Qualifications, Experience, Skills
Level of educational attainment required (1 or more of the following)
B. Tech /BE/ Masters in CS/IS/AI/ML.
Previous work experience required
Minimum 3 years of relevant experience.
Technical skills required
Must Have
Strong expertise in Python, SQL, and libraries such as Scikitlearn, Pandas, NumPy, and PyTorch or TensorFlow including advanced knowledge of OOP concepts.
Exposure to AI/ML methodologies with a previous hands-on experience in ML concepts like forecasting, clustering, regression, classification, optimization using Python.
Azure Tech Stack, Databricks, ML Flow in any cloud platform Airflow for orchestrating and automating workflows.
Strong knowledge of feature engineering, model training, and validation techniques.
MLOPS concepts and containerization tools like Docker.
Experience with version control tools such as Git.
Consistently display an intent for problem solving. Strong communication skills (vocal and written).
Ability to effectively communicate and present information at various levels of an organization.
Experience in model evaluation, A/B testing, and back testing methodologies.
Good To Have
Preferred industry exposure in Manufacturing Domain.
Product building experience.
Other Skills required
Passion for solving problems using data.
Detail oriented, analytical and inquisitive.
Ability to learn on the go.
Ability to work independently and with others.
We dream big to create future with more cheers!"
Software Engineer,Microsoft,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-4331330443?position=4&pageNum=0&refId=ZQ4pTg1FhlUdcJenWnQy0A%3D%3D&trackingId=ydLiTzR6WbQwQrPLixS2sA%3D%3D,Apply (Offsite),Full-time,"Microsoft Ads is now a 15+ billion-dollar business for Microsoft. If listening to customers and conceiving + developing great products is your forte, we’d love to hear from you. We are a team that works closely with the top brand name companies in the world to help improve their ROI on Microsoft Ads. We are a nimble and agile team that drives solutions, incubates new initiatives, shapes up the engineering roadmap and in general aspires to deliver greater value to our advertisers.
The Microsoft Ads Editor team builds and maintains Microsoft Advertising Editor, a cross-platform desktop application that empowers advertisers to efficiently manage large-scale digital marketing campaigns. As a
Software Engineer
, you will join a collaborative, agile team focused on delivering high-quality, performant, and user-friendly solutions for advertisers worldwide. You will work alongside experienced engineers, product managers, and designers to build features that enable bulk editing, offline campaign management, and seamless integration with Microsoft’s advertising ecosystem.
Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.
Responsibilities
Design, develop, test, and maintain features for the Microsoft Ads Editor desktop application using modern programming languages and frameworks (e.g., C#, .NET, React, TypeScript).
Collaborate with senior engineers and cross-functional partners to understand requirements, participate in design discussions, and deliver solutions that meet customer needs.
Write clean, maintainable, and well-documented code following Microsoft’s engineering standards and best practices.
Participate in code reviews, incorporate feedback, and continuously improve code quality and team practices.
Troubleshoot, debug, and resolve software defects to ensure reliability and performance of the Editor application.
Contribute to automated testing and CI/CD pipelines to support high-quality, rapid releases.
Engage in agile ceremonies (stand-ups, sprint planning, retrospectives) and contribute to a culture of learning, inclusion, and continuous improvement.
Stay current with new technologies and industry trends relevant to desktop application development, advertising technology, and user experience
Qualifications
Required Qualifications:
Bachelor's Degree in Computer Science, or related technical discipline with 1-3 years of proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
OR equivalent experience.
Understanding of software engineering fundamentals: data structures, algorithms, object-oriented design, and version control (Git).
High motivation, solid problem-solving skills, attention to detail, and willingness to learn.
Effective communication and collaboration skills; ability to work in a diverse, global team.
Solid written and verbal communication skills—proven ability to document technical work, onboard others, and communicate effectively with PMs, designers, and engineers across time zones.
Growth mindset and adaptability—demonstrated by rapid ramp-up on new codebases, openness to feedback, and proactive ownership of new or ambiguous tasks.
Team player and collaborator—experience working in distributed teams, mentoring peers, and contributing to a positive, inclusive team culture.
Other Requirements
Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include but are not limited to the following specialized security screenings:
Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.
Preferred Qualifications
Experience with React, TypeScript, and modern web frameworks for building performant, scalable user interfaces. Familiarity with Electron or cross-platform desktop app development.
Proficiency in C#/.NET for backend or integration work, especially in large-scale, modular applications.
Solid debugging and troubleshooting skills—experience resolving issues across the stack (UI, API, data sync, performance) and collaborating with platform and partner teams to unblock progress.
Experience with accessibility (A11y) standards and inclusive design, or a willingness to learn and own accessibility charters for product features.
Familiarity with bulk data processing, offline workflows, or large-scale data editing.
#MicrosoftAI #ads #fullstack #electron #React #Typescript #javascript
Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations."
Software Engineer,AXA XL,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-at-axa-xl-4308915247?position=5&pageNum=0&refId=ZQ4pTg1FhlUdcJenWnQy0A%3D%3D&trackingId=6nBf0UoaKq%2FdorQUo5z9Uw%3D%3D,Apply (Offsite),Full-time,"We invent the new to help the world move forward. Combining powerful analytics and deeper insights with bigger ideas and innovative solutions, we free up our clients’ potential, thereby fulfilling our own. Take it seriously. Make it fun. Know it matters. Software Engineer is responsible for making application changes to provide the required IT services functionality for one or more applications under a Delivery Team. This includes the development and maintenance of custom applications as well as the customization of products from software vendors.
What you’ll be doing
What will your essential responsibilities include?
Design, develop, and implement high-quality, scalable, and maintainable integration solutions using Azure Integration Services (including Functions, Web Apps, Logic Apps, API Management, Service Bus, Event Grid, etc.).
Write clean, efficient, and well-documented code following best practices and coding standards.
Conduct testing and validation of integration solutions to ensure they meet functional and performance requirements.
Create and maintain technical documentation related to integration processes and workflows.
Participate in code reviews and contribute to the continuous improvement of integration standards and practices.
Ensure all integrations adhere to security and compliance standards.
Troubleshoot and resolve integration issues, providing timely support.
Optimize integration, performance and scalability.
Support deployment automation through CI/CD pipelines.
Maintain detailed documentation of integration processes, solutions, and best practices.
Unit testing conducted to ensure changes are of sufficient quality before system testing.
Assist in impact analysis.
Work collaboratively with developers on other teams, internal and external, onshore and offshore.
Support analysis and resolution of defects during application testing phases.
May serve as a member of a Major Incident Team.
Resolution of functional defects found during testing.
Estimation development.
Assist with technical analysis of solution design.
Proactively identify and communicate improvement opportunities.
You will report to Delivery Lead.
What you’ll bring
We’re looking for someone who has these abilities and skills:
Required Skills And Abilities
Proven experience as a .NET Integration Developer.
Proficiency in C#, ASP.NET, and .NET Core.
Extensive experience in Azure integration tools and capabilities such as Microsoft Azure Functions, Web Apps Logic Apps, Service Bus, Event Hub, Azure API Management, Azure Cache for Redis, Azure SQL, Cosmos DB, Application Insights and Storage Account.
Experience with enterprise integration patterns, data engineering, message queuing, and event-driven architectures.
Familiarity with CI/CD tools and DevOps practices.
Experience with MuleSoft's Flex Gateway or MuleSoft's Integration platform is preferred.
Experience with database technologies, including relational and NoSQL databases.
Effective analytical and problem-solving skills.
Desired Skills And Abilities
Excellent communication and teamwork abilities.
Adaptable to new/different strategies, programs, technologies, practices, cultures, etc. Comfortable with change, able to easily make transitions.
Azure certifications (e.g., Azure Developer Associate) preferred.
Bachelor’s degree in the field of computer science, information systems or a related field preferred.
What we offer
Inclusion
AXA XL is committed to equal employment opportunity and will consider applicants regardless of gender, sexual orientation, age, ethnicity and origins, marital status, religion, disability, or any other protected characteristic. At AXA XL, we know that an inclusive culture and enables business growth and is critical to our success. That’s why we have made a strategic commitment to attract, develop, advance and retain the most inclusive workforce possible, and create a culture where everyone can bring their full selves to work and reach their highest potential.
It’s about helping one another — and our business — to move forward and succeed.
Five Business Resource Groups focused on gender, LGBTQ+, ethnicity and origins, disability and inclusion with 20 Chapters around the globe.
Robust support for Flexible Working Arrangements
Enhanced family-friendly leave benefits
Named to the Diversity Best Practices Index
Signatory to the UK Women in Finance Charter
Learn more at axaxl.com/about-us/inclusion-and-diversity. AXA XL is an Equal Opportunity Employer.
Total Rewards
AXA XL’s Reward program is designed to take care of what matters most to you, covering the full picture of your health, wellbeing, lifestyle and financial security. It provides competitive compensation and personalized, inclusive benefits that evolve as you do.
We’re committed to rewarding your contribution for the long term, so you can be your best self today and look forward to the future with confidence.
Sustainability
At AXA XL, Sustainability is integral to our business strategy. In an ever-changing world, AXA XL protects what matters most for our clients and communities. We know that sustainability is at the root of a more resilient future. Our 2023-26 Sustainability strategy, called “Roots of resilience”, focuses on protecting natural ecosystems, addressing climate change, and embedding sustainable practices across our operations.
Our Pillars
Valuing nature: How we impact nature affects how nature impacts us. Resilient ecosystems - the foundation of a sustainable planet and society - are essential to our future. We’re committed to protecting and restoring nature - from mangrove forests to the bees in our backyard - by increasing biodiversity awareness and inspiring clients and colleagues to put nature at the heart of their plans.
Addressing climate change: The effects of a changing climate are far-reaching and significant. Unpredictable weather, increasing temperatures, and rising sea levels cause both social inequalities and environmental disruption. We're building a net zero strategy, developing insurance products and services, and mobilizing to advance thought leadership and investment in societal-led solutions.
Integrating ESG: All companies have a role to play in building a more resilient future. Incorporating ESG considerations into our internal processes and practices builds resilience from the roots of our business. We’re training our colleagues, engaging our external partners, and evolving our sustainability governance and reporting.
AXA Hearts in Action: We have established volunteering and charitable giving programs to help colleagues support causes that matter most to them, known as AXA XL’s “Hearts in Action” programs. These include our Matching Gifts program, Volunteering Leave, and our annual volunteering day - the Global Day of Giving.
For more information, please see axaxl.com/sustainability.
Who we are
AXA XL, the P&C and specialty risk division of AXA, is known for solving complex risks. For mid-sized companies, multinationals and even some inspirational individuals we don’t just provide re/insurance, we reinvent it.
How? By combining a comprehensive and efficient capital platform, data-driven insights, leading technology, and the best talent in an agile and inclusive workspace, empowered to deliver top client service across all our lines of business − property, casualty, professional, financial lines and specialty.
With an innovative and flexible approach to risk solutions, we partner with those who move the world forward.
Learn more at axaxl.com"
Software Engineer,Microsoft,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-4310134322?position=6&pageNum=0&refId=ZQ4pTg1FhlUdcJenWnQy0A%3D%3D&trackingId=2VPFTCfbPB8iCYFtqyO%2BWw%3D%3D,Apply (Offsite),Full-time,"The Microsoft Windows & Devices (W+D) team is on a journey to deliver iconic end-to-end products across hardware, software, and services that people love and use every day. A fundamental part of the W+D strategy is having desirable and powerful devices that enable the experiences people want. The Windows Silicon & System Integration (WSSI) team within W+D is hiring a
Software Engineer
who will validate, benchmark breakthrough technological aspects across the Windows ecosystem for cutting-edge silicon.
Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.
Responsibilities
Design, implement, and maintain software components that enable AI innovation on Windows devices
Partner with cross-functional teams spanning silicon, software, and AI to deliver performant and reliable features
Contribute to building high-quality fundamentals (performance, power, reliability) that elevate the Copilot+ PC experience
Participate in planning, technical design reviews, and code reviews with an emphasis on engineering excellence
Investigate complex system-level issues and drive root-cause analysis and resolution
Deliver customer-centric solutions aligned with product goals and quality standards
Stay current with industry trends in AI and system software to drive innovation and continuous improvement
Demonstrate a growth mindset and contribute to a collaborative, inclusive team culture
Qualifications
Required Qualifications:
Bachelor's Degree in Computer Science, or related technical discipline with proven experience coding in languages C, C++ experience is required.
Experience on systems/operating system/Kernel/Device drivers domain knowledge is required.
Preferred Qualifications
Solid problem solving and debugging skills for modern-day multiprocessor systems (able to write/debug code, use debuggers and diagnostics tools).
Ability to quickly ramp-up on complex and unfamiliar code.
Leverage performance profiling and log analysis to understand system behavior.
Approach every customer engagement with a profound commitment to their success.
Strong communication skills, including ability to clearly express technical concepts in verbal and written forms .
Ability to plan work, and work to a plan adapting as necessary in a rapidly evolving environment.
Collaborate with internal and external teams to find solutions that are leverageable across multiple architectures and generations .
Deliver clear written communication of technical designs and solutions.
#W+DJOBS
Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations."
Data Scientist - Junior,Schaeffler,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-junior-at-schaeffler-4276763869?position=7&pageNum=0&refId=ZQ4pTg1FhlUdcJenWnQy0A%3D%3D&trackingId=YneAeYVkvyNTsvI9Giiivw%3D%3D,Apply (Offsite),Full-time,"Schaeffler is a dynamic global technology company and its success has been a result of its entrepreneurial spirit and long history of private ownership. Does that sound interesting to you? As a partner to all of the major automobile manufacturers, as well as key players in the aerospace and industrial sectors, we offer you many development opportunities.
Your Key Responsibilities
Research and define analytical models based on given data/information as part of analytical ad hoc feasibility cases, proofs of concepts or with a focus on software development towards deployable analytics solutions.
Collaborate with internal and/or external clients to understand business requirements.
Compile, sort and organize function-specific information and data in preparation for subsequent analyses.
Conduct both routine and instant data cleaning and testing, identify and resolve data quality issues in cooperation with the team.
Analyze data for instant feasibility cases and proofs of concepts.
Actively contribute in the research and definition of analytical models that will be transferred in the products eventually.
Your Qualifications
Graduate Degree in Business Informatics, Applied Computer Science, Mathematics, Software Engineering, Machine Learning
5 to 6 years
As a global company with employees around the world, it is important to us that we treat each other with respect and value all ideas and perspectives. By appreciating our differences, we inspire creativity and drive innovation. In this way, we contribute to sustainable value creation for our stakeholders and society as a whole. Together, we advance how the world moves.
Exciting assignments and outstanding development opportunities await you because we impact the future with innovation. We look forward to your application.
www.schaeffler.com/careers
Your Contact
Schaeffler Technology Solutions India Pvt. Ltd.
Kalyani More
For technical questions, please contact this email address: technical-recruiting-support-AP@schaeffler.com
Keywords: Experienced; Engineer; Full-Time; Unlimited; Digitalization & Information Technology;"
Software Engineer,Microsoft,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-4275652103?position=8&pageNum=0&refId=ZQ4pTg1FhlUdcJenWnQy0A%3D%3D&trackingId=IEjZPcSKHgsR%2Fj2GBom7Wg%3D%3D,Apply (Offsite),Full-time,"Come work on a product that touches and transforms the lives of millions of families across the globe! Thrive in an innovative and startup-like environment putting your technical acumen and relentless customer obsession to the best use.
In line with our CEO Satya’s mission for Microsoft to empower every person and every organization on the planet to achieve more, the mission of the Windows People eXperiences (WPX) team is to empower families to explore, learn and connect in a fun and safe environment.
Families are among the most valuable and loyal customers of Microsoft. Our solutions elevate families at Microsoft! We ensure they get the best out of productivity in Microsoft 365, gaming in Xbox, browsing in Edge and a seamless experience across Windows, Xbox and other Devices. Powered by highly scalable Azure services, we transform personal data into personal value and empower modern  families to gain peace of mind, accomplish what matters most, and to ultimately allow them to focus on what’s most important: each other.
Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.
Responsibilities
Be deeply involved in Software Development, Testing, Integration, Deployment, Partner collaboration and Innovation aligned with product strategy. You will be hands on in building robust, high quality products using cutting edge technology.
Hands on development for critical platform features in partnership with other ICs.
Be a Subject Matter Expert in a specific domain or tech.
Be customer and telemetry focused and reduce mean time to market and mean time to recover through Engineering Excellence.
Play a significant role in driving culture of growth mindset.
Drive Engineering Process Simplification through Tech Innovation.
Qualifications
Required Qualifications:
Bachelor's Degree in Computer Science, or related technical discipline with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
OR equivalent experience.
Deep technical experience.
Researching (and perhaps building prototypes and beyond) some new ways of doing something.
Demonstrates a mastery of communication and data presentation and storytelling skills.
Exhibits a growth mindset and humility, while working through high stakes scenarios.
Proven experiences as an ally who can further a more open, diverse, and inclusive workplace with a goal of everyone feeling like they belong.
Demonstrated hypothesis-driven, problem-solving orientation.
Strong design, coding, debugging, teamwork, and communication skills.
Preferred Qualifications
1+ years of overall experience shipping commercial software including 1+ years of experience in modern app development using XAML/UWP/WinUI and C/C++ is preferred.
Excellent design, coding, debugging, teamwork, and communication skills.
A Customer focused innovation mindset.
Passionate about Craftmanship in engineering.
Experience with cross group design and coordination is an advantage.
Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations."
Associate - Data Scientist-Data Science-Data Scientist,EXL,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/associate-data-scientist-data-science-data-scientist-at-exl-4323996288?position=9&pageNum=0&refId=ZQ4pTg1FhlUdcJenWnQy0A%3D%3D&trackingId=BW820vMxvDOjM%2F%2FEAIk%2FKQ%3D%3D,Easy Apply,Full-time,"Associate Data Scientists assist in analyzing data and developing data-driven insights. Responsibilities include data collection, preprocessing, and basic statistical analysis. You will work under the guidance of senior data scientists to learn and apply data science techniques. Basic knowledge of data analysis tools and statistical methods is required."
AI Software Engineer,DHL,"Indore, Madhya Pradesh, India",https://in.linkedin.com/jobs/view/ai-software-engineer-at-dhl-4317166560?position=10&pageNum=0&refId=ZQ4pTg1FhlUdcJenWnQy0A%3D%3D&trackingId=2sok%2F5ynu6KkVH8PinHrvA%3D%3D,Apply (Offsite),Full-time,"Your IT Future, Delivered.
AI Software Engineer (Python, GenAI)
With a global team of 5600+ IT professionals, DHL IT Services connects people and keeps the global economy running by continuously innovating and creating sustainable digital solutions. We work beyond global borders and push boundaries across all dimensions of logistics. You can leave your mark shaping the technology backbone of the biggest logistics company of the world. All our offices have earned #GreatPlaceToWork certification, reflecting our commitment to exceptional employee experiences.
Digitalization. Simply delivered.
At IT Services, we are passionate about technology. Our team is continuously expanding. No matter your level of Architecture proficiency, you can always grow within our diverse environment.
#DHL #DHLITServices #GreatPlace
Grow together.
The role of an AI Engineer is the pathfinder for the Engineering team. AI Engineers need to be able to understand the challenges on the ground and find solution to improve efficiency in delivering solutions for faster time to market. AI Engineer is proficient in leveraging available AI tools in applying real world use cases for better productivity.
Ready to embark on the journey? Here’s what we are looking for:
As an AI Engineer, having Python experience, Prompt Engineering and Generative AI models, and AI use cases application is required. Also, knowledge of AI workflow tools such as LangChain and n8n will be a huge plus to help our company improve our business and IT processes with better efficiency, breaking down tasks to use the right learning models, while grounding results via “context engineering” using RAG and MCP protocols to ensure only relevant and good quality results are produced.
Aside from that, you should be able to work independently prioritize and organize your tasks under time and workload pressure. Working in a multinational environment, you can expect cross-region collaboration with teams around the globe, thus being advanced in spoken and written English will be certainly useful.
Ready to embark on the journey? Here’s what we are looking for:
As a Software Engineer, having Python experience, Prompt Engineering and Generative AI models, use cases knowledge is a huge plus. Very good knowledge of Software Development Methodologies and DevSecOps process and tools and Java & Node.js programming language will also be an integral part of this role.
You are a GenAI aficionado, therefore you have a good understanding of version control systems (e.g., Git) and project management tools, analytical and soft skills. You are able to work independently prioritize and organize your tasks under time and workload pressure. Working in a multinational environment, you can expect cross-region collaboration with teams around the globe, thus being advanced in spoken and written English will be certainly useful.
An array of benefits for you:
Hybrid work arrangements to balance in-office collaboration and home flexibility.
Annual Leave: 42 days off apart from Public / National Holidays.
Medical Insurance: Self + Spouse + 2 children. An option to opt for Voluntary Parental Insurance (Parents / Parent -in-laws) at a nominal premium covering pre existing disease.
In House training programs: professional and technical training certifications."
